Category,Service Name,Description,Duration,Price
VALENTINE'S AT THE VILLAGE!,BESTIES WHO SPA TOGETHER,"Grab your bestie and let the pampering begin! First, enjoy some solo oooh-and-ahhh time in separate rooms as you melt into a dreamy warm candle massage. Then, reunite in our cozy relaxation area to sip, gossip, and mask up with a Pink Diamond Face Mask—because glowing skin is the ultimate friendship flex! And to make it official, take home matching plush spa headbands—because no spa day is complete without a little twinning!",1 hr ,"AED 1,200"
20 YEARS OF SENSASIA - THE CLASSICS,BESTIES WHO SPA TOGETHER,"Grab your bestie and let the pampering begin! First, enjoy some solo oooh-and-ahhh time in separate rooms as you melt into a dreamy warm candle massage. Then, reunite in our cozy relaxation area to sip, gossip, and mask up with a Pink Diamond Face Mask—because glowing skin is the ultimate friendship flex! And to make it official, take home matching plush spa headbands—because no spa day is complete without a little twinning!",1 hr ,"AED 1,200"
20 YEARS OF SENSASIA - THE CLASSICS,IT'S GETTING HOT IN HERE!,"Let the warmth of romance envelop you as you and your love sink into pure indulgence with a luxurious 90 minute couple’s hot stone massage. The soothing heat of expertly placed stones melts away every ounce of tension, while the soft glow and delicate aroma of our warm massage candle set the scene for deep relaxation and connection. Designed to awaken the senses and leave you both basking in bliss, this intimate experience is the perfect way to keep the love burning bright—long after the last touch fades.","1 hr, 30 mins",AED 645
20 YEARS OF SENSASIA - THE CLASSICS,HI-HEELER,"Our ode to the iconic stiletto-loving city life, inspired by the glitz, glam, and unstoppable stride of urban chic. Created for those who brave countless knots and corns from their high-heeled adventures, this treatment combines a circulation-boosting foot massage with hot stones and a guava leaf foot wrap. And just like that, your soles will be ready to take on the world again—in style!","1 hr, 15 mins",AED 500
20 YEARS OF SENSASIA - THE CLASSICS,BALIN-EASE BOREH,"Among our oriental-inspired treatments, the Balinese Boreh stands out as the ultimate sensory indulgence, offering a deeply restorative full-body heat experience. Your journey begins with our signature BALIN-EASE massage, expertly designed to release tension and ease you into a state of deep tranquility. This is followed by a traditional Boreh wrap—a centuries-old Balinese blend of sandalwood, cloves, ginger, cinnamon, and ground rice, cherished for its warming and healing properties. The treatment is completed with a cooling carrot rub to polish the body. Together, these elements create a holistic experience that soothes the body, revitalizes the senses, and restores inner harmony.",2 hrs,AED 950
SAVE BIG - IF YOU HAVE REAL FLEX APPEAL,IT'S GETTING HOT IN HERE!,"Let the warmth of romance envelop you as you and your love sink into pure indulgence with a luxurious 90 minute couple’s hot stone massage. The soothing heat of expertly placed stones melts away every ounce of tension, while the soft glow and delicate aroma of our warm massage candle set the scene for deep relaxation and connection. Designed to awaken the senses and leave you both basking in bliss, this intimate experience is the perfect way to keep the love burning bright—long after the last touch fades.","1 hr, 30 mins",AED 645
SAVE BIG - IF YOU HAVE REAL FLEX APPEAL,HI-HEELER,"Our ode to the iconic stiletto-loving city life, inspired by the glitz, glam, and unstoppable stride of urban chic. Created for those who brave countless knots and corns from their high-heeled adventures, this treatment combines a circulation-boosting foot massage with hot stones and a guava leaf foot wrap. And just like that, your soles will be ready to take on the world again—in style!","1 hr, 15 mins",AED 500
SAVE BIG - IF YOU HAVE REAL FLEX APPEAL,BALIN-EASE BOREH,"Among our oriental-inspired treatments, the Balinese Boreh stands out as the ultimate sensory indulgence, offering a deeply restorative full-body heat experience. Your journey begins with our signature BALIN-EASE massage, expertly designed to release tension and ease you into a state of deep tranquility. This is followed by a traditional Boreh wrap—a centuries-old Balinese blend of sandalwood, cloves, ginger, cinnamon, and ground rice, cherished for its warming and healing properties. The treatment is completed with a cooling carrot rub to polish the body. Together, these elements create a holistic experience that soothes the body, revitalizes the senses, and restores inner harmony.",2 hrs,AED 950
SAVE BIG - IF YOU HAVE REAL FLEX APPEAL,SKINNY LATTE,"Perk up your body and soul with this caffeine-charged extravaganza! Kick things off with a coffee scrub and mask that tackle stubborn fat with espresso-like intensity, followed by a deep, invigorating massage to get your circulation buzzing. And because your face deserves a pick-me-up too, we top it off with our rejuvenating Citrus Radiance Therapy Facial from Natura Bisse to hydrate, strengthen, and leave your skin positively glowing. It’s the ultimate brew-tiful boost for your body and mind!","2 hrs, 30 mins","AED 1,100"
SAVE BIG - IF YOU HAVE REAL FLEX APPEAL,FLEX APPEAL - BALIN-EASE MASSAGE 60MIN,N/A,1 hr,AED 360
MASSAGES,FLEX APPEAL - BALIN-EASE MASSAGE 60MIN,N/A,1 hr,AED 360
MASSAGES,FLEX APPEAL - BALIN-EASE MASSAGE 90MIN,N/A,"1 hr, 30 mins",AED 430
MASSAGES,FLEX APPEAL - 'KNEAD-IT' MASSAGE 60MIN,N/A,1 hr,AED 370
MASSAGES,FLEX APPEAL - 'KNEAD-IT' MASSAGE 90MIN,N/A,"1 hr, 30 mins",AED 440
MASSAGES,FLEX APPEAL - NURTURING MOTHER-TO-BE MASSAGE 60MIN,N/A,1 hr,AED 440
MASSAGES,BUILD YOUR OWN MASSAGE 90MIN,"Unique to SENSASIA, this specialised massage treatment begins with a tailored consultation, where you can curate, customise and enhance your experience based on how you feel now, and how you want to feel post-treatment. Choose your scent, style, and stroke and we’ll do the rest.","1 hr, 40 mins",AED 496
MASSAGES,BUILD YOUR OWN MASSAGE 120MIN,"Unique to SENSASIA, this specialised massage treatment begins with a tailored consultation, where you can curate, customise and enhance your experience based on how you feel now, and how you want to feel post-treatment. Choose your scent, style, and stroke and we’ll do the rest.","2 hrs, 15 mins",AED 576
PACKAGES,THAI YOGA STRETCH MASSAGE 90MIN,"A dynamic, stress busting, total body stretch. Step into custom-made Thai pyjamas for an invigorating oil-free massage session. Relieve tension, increase flexibility, and stimulate blood flow with this subliminal body workout.","1 hr, 30 mins",AED 440
PACKAGES,MADEROTHERAPY 60MIN,"A body sculpting session using anatomically designed wooden tools that stimulate the lymphatic drainage system and apply targeted pressure to problem areas, helping to tone the skin and reduce the appearance of cellulite.",1 hr,AED 328
PACKAGES,MADEROTHERAPY 90MIN,"A body sculpting session using anatomically designed wooden tools that stimulate the lymphatic drainage system and apply targeted pressure to problem areas, helping to tone the skin and reduce the appearance of cellulite.","1 hr, 30 mins",AED 384
PACKAGES,THE RAPID RUB,"This quick but stimulating session combines deep, targeted strokes to melt away tension. Really stretched for time? Have our legendary ginger tea to-go!",45 mins,AED 340
PACKAGES,MIND YOUR BNS,"In and out in under 30! A back, neck, and shoulder massage for when you're feeling tight, but also tight on time!",30 mins,AED 210
PACKAGES,BLISSFULLY UNAWARE,"Let the indulgence unfold as you bask in the luxury of choice. Select either our 90 minute tension relieving Hot Stone Massage, or perhaps, surrender to the allure of the Warm Candle Melt Massage, a symphony of warmth and fragrant delight. Take your pampering to new heights with a rejuvenating 90 minute Natura Bisse Advanced Facial, tailored to cater to the unique needs of your precious skin. Enhanced with your choice of either The Essential Eyes or Cooling Cucumber with Ice Globes, our skilled therapists will work their magic, leaving you with a radiant complexion that reflects your inner glow. Pure Bliss. Includes: Foot Cleansing Ritual I Choice of Massage I Advanced Facial I Choice of Enhancement I Legendary Ginger Tea",3 hrs,"AED 1,260"
